Token 	Tags Validés
kartama 	 NOM:com 
i 	 KON:COOR 
novim 	 ADJ 
knjigama 	 NOM:com 
i 	 KON:COOR 
jedne 	 ADJ:IND 
večeri 	 NOM:com 
kasno 	 ADV 
, 	 PUN 
u 	 PRP 
punom 	 ADJ 
naletu 	 NOM:com 
inspiracije 	 NOM:com 
, 	 PUN 
iluminiran 	 ADJ 
, 	 PUN 
stavio 	 VER 
je 	 VER:AUX 
na 	 PRP 
hartiju 	 NOM:com 
prvu 	 NUM:ORD 
rečenicu 	 NOM:com 
, 	 PUN 
namenjenu 	 VER 
nekoj 	 ADJ:IND 
vrsti 	 NOM:com 
predgovora 	 NOM:com 
ili 	 KON:COOR 
uputstva 	 NOM:com 
za 	 PRP 
upotrebu 	 NOM:com 
. 	 SENT 
 	  
Ta 	 ADJ:DEM 
mu 	 PRO:PER 
je 	 VER:AUX 
veličanstvena 	 ADJ 
misao 	 NOM:com 
, 	 PUN 
to 	 ADJ:DEM 
genijalno 	 ADJ 
pitanje 	 NOM:com 
sinulo 	 VER 
u 	 PRP 
glavi 	 NOM:com 
kao 	 KON:SUB 
Mojsiju 	 NOM:NAM 
glas 	 NOM:com 
iz 	 PRP 
zapaljenog 	 ADJ 
žbuna 	 NOM:com 
, 	 PUN 
iznenadno 	 ADV 
. 	 SENT 
 	  
I 	 KON:COOR 
ta 	 ADJ:DEM 
će 	 VER:AUX 
ga 	 PRO:PER 
jedna 	NUM:CAR
jedina 	 ADJ 
rečenica 	 NOM:com 
, 	 PUN 
to 	 PRO:DEM 
veliko 	 ADJ 
, 	 PUN 
sudbinsko 	 ADJ 
pitanje 	 NOM:com 
, 	 PUN 
transponovano 	 ADJ 
na 	 PRP 
viši 	ADJ:KOM
, 	 PUN 
metafizički 	 ADJ 
plan 	 NOM:com 
, 	 PUN 
uskoro 	 ADV 
poneti 	 VER 
svojim 	 ADJ:POS 
smislom 	 NOM:com 
i 	 KON:COOR 
svojom 	 ADJ:POS 
zagonetkom 	 NOM:com 
na 	 PRP 
koju 	 PRO:REL 
je 	 VER:AUX 
moj 	 ADJ:POS 
otac 	 NOM:com 
bio 	VER:AUX
rešio 	 VER 
da 	 KON:SUB 
da 	VER
odgovor 	 NOM:com 
: 	 PUN 
« 	 PUN:cit 
Kako 	 KON:SUB 
otputovati 	 VER 
u 	 PRP 
Nikaragvu 	 NOM:NAM 
? 	 SENT 
 	  
» 	 PUN:cit 
Svestan 	 ADJ 
činjenice 	 NOM:com 
da 	 KON:SUB 
demistifikujem 	 VER 
značaj 	 NOM:com 
i 	 KON:COOR 
veličinu 	 NOM:com 
očevog 	 ADJ 
pothvata 	 NOM:com 
, 	 PUN 
ipak 	 ADV 
ponavljam 	 VER 
da 	 KON:SUB 
u 	 PRP 
prvom 	 NUM:ORD 
trenutku 	 NOM:com 
u 	 PRP 
njegovim 	 ADJ:POS 
namerama 	 NOM:com 
nije 	 VER:AUX 
bilo 	 VER 
ničeg 	 PRO:IND 
izuzetnog 	 ADJ 
ni 	 PAR 
veličanstvenog 	 ADJ 
. 	 SENT 
 	  
U 	 PRP 
početku 	 NOM:com 
, 	 PUN 
velim 	 VER 
, 	 PUN 
to 	 PRO:DEM 
su 	 VER:AUX 
bili 	 VER 
sasvim 	 ADV 
mali 	 ADJ 
turistički 	ADJ
bedekeri 	 NOM:com 
, 	 PUN 
sa 	 PRP 
znamenitostima 	 NOM:com 
, 	 PUN 
muzejima 	 NOM:com 
, 	 PUN 
fontanama 	 NOM:com 
i 	 KON:COOR 
spomenicima 	 NOM:com 
, 	 PUN 
katkad 	 ADV 
sa 	 PRP 
kratkim 	 ADJ 
komentarima 	 NOM:com 
o 	 PRP 
običajima 	 NOM:com 
, 	 PUN 
religiji 	 NOM:com 
, 	 PUN 
istoriji 	 NOM:com 
, 	 PUN 
umetnosti 	 NOM:com 
i 	 KON:COOR 
kulturi 	 NOM:com 
. 	 SENT 
 	  
No 	 KON:COOR 
kako 	 KON:SUB 
je 	 VER:AUX 
moj 	 ADJ:POS 
otac 	 NOM:com 
počeo 	 VER 
u 	 PRP 
tu 	 ADJ:DEM 
svrhu 	 NOM:com 
da 	 KON:SUB 
konsultuje 	 VER 
enciklopedije 	 NOM:com 
i 	 KON:COOR 
leksikone 	 NOM:com 
( 	 PUN 
najviše 	 ADV:SUP 
se 	 PRO:REF 
služio 	 VER 
Meyerlexikonom 	STR
iz 	 PRP 
1867 	 NUM 
, 	 PUN 
u 	 PRP 
petnaest 	 NUM:CAR 
tomova 	 NOM:com 
, 	 PUN 
kao 	 KON:SUB 
i 	 KON:COOR 
onim 	 ADJ:DEM 
novim 	 ADJ 
iz 	 PRP 
1924 	 NUM 
– 	 PUN 
1930 	 NUM 
) 	 PUN 
, 	 PUN 
zatim 	 ADV 
još 	 ADV 
i 	 KON:COOR 
velikom 	 ADJ 
Encyclopaediom 	STR
Britannica 	STR
i 	 KON:COOR 
Jüdische 	STR
Lexikonom 	STR
iz 	 PRP 
1928 	 NUM 
, 	 PUN 
u 	 PRP 
pet 	 NUM:CAR 
tomova 	 NOM:com 
) 	 PUN 
, 	 PUN 
pitanja 	 NOM:com 
na 	 PRP 
koja 	 PRO:REL 
je 	 VER:AUX 
tražio 	 VER 
odgovore 	 NOM:com 
počela 	 VER 
su 	 VER:AUX 
da 	 KON:SUB 
ga 	 PRO:PER 
odvlače 	 VER 
jednako 	 ADV 
u 	 PRP 
dubinu 	 NOM:com 
i 	 KON:COOR 
u 	 PRP 
širinu 	 NOM:com 
, 	 PUN 
pa 	 KON:COOR 
je 	 VER:AUX 
onda 	 ADV 
nakupio 	 VER 
ogroman 	 ADJ 
spisak 	 NOM:com 
literature 	 NOM:com 
iz 	 PRP 
najrazličitijih 	 ADJ:SUP 
oblasti 	 NOM:com 
, 	 PUN 
na 	 PRP 
skoro 	 ADV 
svim 	 ADJ:IND 
evropskim 	 ADJ 
jezicima 	 NOM:com 
, 	 PUN 
a 	 KON:COOR 
leksikone 	 NOM:com 
su 	 VER:AUX 
zamenile 	 VER 
alhemijske 	 ADJ 
, 	 PUN 
antropološke 	ADJ
, 	 PUN 
antropozofske 	 ADJ 
, 	 PUN 
arheološke 	ADJ
, 	 PUN 
astrološke 	ADJ
, 	 PUN 
astronomske 	 ADJ 
, 	 PUN 
bogoslovske 	 ADJ 
, 	 PUN 
cionističke 	 ADJ 
, 	 PUN 
daosističke 	 ADJ 
, 	 PUN 
darvinističke 	 ADJ 
, 	 PUN 
deističke 	 ADJ 
, 	 PUN 
dijalektičke 	 ADJ 
, 	 PUN 
dihotomijske 	 ADJ 
, 	 PUN 
dijatetičke 	ADJ
, 	 PUN 
diluvijalne 	 ADJ 
, 	 PUN 
dinamičke 	 ADJ 
, 	 PUN 
dipsomanske 	 ADJ 
, 	 PUN 
diplomatske 	 ADJ 
, 	 PUN 
dualističke 	 ADJ 
, 	 PUN 
egzaktne 	 ADJ 
, 	 PUN 
egzorcističke 	 ADJ 
, 	 PUN 
egzosmozičke 	 ADJ 
, 	 PUN 
eklektičke 	 ADJ 
, 	 PUN 
ekliptičke 	 ADJ 
, 	 PUN 
ekološke 	ADJ
, 	 PUN 
ekonomske 	 ADJ 
, 	 PUN 
ekvilibrističke 	 ADJ 
, 	 PUN 
embriološke 	ADJ
, 	 PUN 
embološke 	ADJ
, 	 PUN 
emocionalističke 	 ADJ 
, 	 PUN 
empirijske 	 ADJ 
, 	 PUN 
empiriokriticističke 	 ADJ 
, 	 PUN 
empiriomonističke 	 ADJ 
, 	 PUN 
empiričke 	 ADJ 
, 	 PUN 
enciklopedijske 	 ADJ 
, 	 PUN 
endemičke 	ADJ
, 	 PUN 
entomološke 	ADJ
, 	 PUN 
epikurejske 	 ADJ 
, 	 PUN 
epizootijske 	 ADJ 
, 	 PUN 
erotematičke 	 ADJ 
, 	 PUN 
erotičke 	 ADJ 
, 	 PUN 
esencijalističke 	 ADJ 
, 	 PUN 
eshatološke 	ADJ
, 	 PUN 
esperantističke 	 ADJ 
, 	 PUN 
estetičke 	 ADJ 
, 	 PUN 
etičke 	 ADJ 
, 	 PUN 
etimološke 	ADJ
, 	 PUN 
etničke 	 ADJ 
, 	 PUN 
etnografske 	 ADJ 
, 	 PUN 
etnološke 	ADJ
, 	 PUN 
etološke 	ADJ
, 	 PUN 
eufoničke 	 ADJ 
, 	 PUN 
eugenetičke 	 ADJ 
, 	 PUN 
evanđelističke 	 ADJ 
, 	 PUN 
evolucionističke 	 ADJ 
, 	 PUN 
ezoteričke 	 ADJ 
, 	 PUN 
fantomističke 	 ADJ 
, 	 PUN 
fantazmagoričke 	 ADJ 
, 	 PUN 
farizeološke 	ADJ
, 	 PUN 
fatalističke 	 ADJ 
, 	 PUN 
fenološke 	ADJ
, 	 PUN 
fenomenološke 	ADJ
, 	 PUN 
fetišističke 	 ADJ 
, 	 PUN 
filogenetičke 	 ADJ 
, 	 PUN 
filološke 	ADJ
, 	 PUN 
filozofske 	 ADJ 
, 	 PUN 
finansijske 	 ADJ 
, 	 PUN 
fizičke 	 ADJ 
, 	 PUN 
fiziognomičke 	 ADJ 
, 	 PUN 
florilegijske 	 ADJ 
, 	 PUN 
folklorističke 	 ADJ 
, 	 PUN 
formalističke 	 ADJ 
, 	 PUN 
frojdističke 	 ADJ 
, 	 PUN 
genealoške 	ADJ
, 	 PUN 
genetičke 	 ADJ 
, 	 PUN 
geocentričke 	 ADJ 
, 	 PUN 
geodetske 	 ADJ 
, 	 PUN 
geofizičke 	 ADJ 
, 	 PUN 
geognozičke 	 ADJ 
, 	 PUN 
geografske 	 ADJ 
, 	 PUN 
geološke 	ADJ
, 	 PUN 
geometrijske 	 ADJ 
, 	 PUN 
geopolitičke 	 ADJ 
, 	 PUN 
geotermičke 	 ADJ 
, 	 PUN 
geotropističke 	 ADJ 
, 	 PUN 
germanističke 	 ADJ 
, 	 PUN 
glaciološke 	ADJ
, 	 PUN 
gnoseološke 	ADJ
, 	 PUN 
gnostičke 	 ADJ 
, 	 PUN 
gramatičke 	 ADJ 
, 	 PUN 
harmonijske 	 ADJ 
, 	 PUN 
hegelijanske 	 ADJ 
, 	 PUN 
helenističke 	 ADJ 
, 	 PUN 
heliocentričke 	 ADJ 
, 	 PUN 
hemoterapijske 	 ADJ 
, 	 PUN 
heraklitovske 	 ADJ 
, 	 PUN 
heteroseksualističke 	 ADJ 
, 	 PUN 
hidrauličke 	 ADJ 
, 	 PUN 
hidrodinamičke 	 ADJ 
, 	 PUN 
hidrografijske 	 ADJ 
, 	 PUN 
hidrotehničke 	 ADJ 
, 	 PUN 
hinduističke 	 ADJ 
, 	 PUN 
hipnotičke 	 ADJ 
, 	 PUN 
hipologijske 	 ADJ 
, 	 PUN 
hiromantičke 	 ADJ 
, 	 PUN 
humanističke 	 ADJ 
, 	 PUN 
idealističke 	 ADJ 
, 	 PUN 
ideografijske 	 ADJ 
, 	 PUN 
ikonografijske 	 ADJ 
, 	 PUN 
ikonoklastičke 	 ADJ 
, 	 PUN 
ikonolatrijske 	 ADJ 
, 	 PUN 
iluzionističke 	 ADJ 
, 	 PUN 
indeterminističke 	 ADJ 
, 	 PUN 
individualističke 	 ADJ 
, 	 PUN 
intuitivističke 	 ADJ 
, 	 PUN 
iracionalističke 	 ADJ 
, 	 PUN 
istorijske 	 ADJ 
, 	 PUN 
judofobističke 	 ADJ 
, 	 PUN 
juridičke 	 ADJ 
, 	 PUN 
kabalističke 	 ADJ 
, 	 PUN 
karakterološke 	ADJ
, 	 PUN 
kartezijanske 	 ADJ 
, 	 PUN 
kartografske 	 ADJ 
, 	 PUN 
kataleptičke 	 ADJ 
, 	 PUN 
katapleksičke 	 ADJ 
, 	 PUN 
kauzalističke 	 ADJ 
, 	 PUN 
kazuističke 	 ADJ 
, 	 PUN 
kvijetističke 	 ADJ 
, 	 PUN 
kinološke 	ADJ
, 	 PUN 
komediografske 	 ADJ 
, 	 PUN 
komparativističke 	 ADJ 
, 	 PUN 
konfucijanske 	 ADJ 
, 	 PUN 
konstitucionalističke 	 ADJ 
, 	 PUN 
kosmičke 	ADJ
, 	 PUN 
kosmogonijske 	 ADJ 
, 	 PUN 
kosmografijske 	 ADJ 
, 	 PUN 
kosmološke 	ADJ
, 	 PUN 
leksikografske 	 ADJ 
, 	 PUN 
leksikološke 	ADJ
, 	 PUN 
literarne 	 ADJ 
, 	 PUN 
lamarkističke 	 ADJ 
, 	 PUN 
larpurlartističke 	 ADJ 
, 	 PUN 
magijske 	 ADJ 
, 	 PUN 
magnetičke 	 ADJ 
, 	 PUN 
mahističke 	 ADJ 
, 	 PUN 
marksističke 	 ADJ 
, 	 PUN 
martirologijske 	 ADJ 
, 	 PUN 
masonske 	 ADJ 
, 	 PUN 
materijalističke 	 ADJ 
, 	 PUN 
medijevalne 	 ADJ 
, 	 PUN 
mefistofelovske 	 ADJ 
, 	 PUN 
mehanoterapijske 	 ADJ 
, 	 PUN 
memoarske 	 ADJ 
, 	 PUN 
merkantilističke 	 ADJ 
, 	 PUN 
metamorfističke 	 ADJ 
, 	 PUN 
metempsihičke 	ADJ
, 	 PUN 
mikrobiološke 	ADJ
, 	 PUN 
minerološke 	ADJ
, 	 PUN 
mističke 	 ADJ 
, 	 PUN 
mitološke 	ADJ
, 	 PUN 
monoteističke 	 ADJ 
, 	 PUN 
moralne 	 ADJ 
, 	 PUN 
morfološke 	ADJ
, 	 PUN 
muzikološke 	ADJ
, 	 PUN 
navigacijske 	 ADJ 
, 	 PUN 
neokantističke 	 ADJ 
, 	 PUN 
normativne 	 ADJ 
, 	 PUN 
numizmatičke 	 ADJ 
, 	 PUN 
objektivističke 	 ADJ 
, 	 PUN 
onomastičke 	 ADJ 
, 	 PUN 
optičke 	 ADJ 
, 	 PUN 
oratorske 	 ADJ 
, 	 PUN 
organografijske 	 ADJ 
, 	 PUN 
orometrijske 	 ADJ 
, 	 PUN 
osmologijske 	 ADJ 
, 	 PUN 
paleografske 	 ADJ 
, 	 PUN 
paleofitološke 	ADJ
, 	 PUN 
paleontološke 	ADJ
, 	 PUN 
panteističke 	 ADJ 
, 	 PUN 
parazitološke 	ADJ
, 	 PUN 
partikularističke 	 ADJ 
, 	 PUN 
pijetističke 	 ADJ 
, 	 PUN 
platonske 	 ADJ 
, 	 PUN 
pluralističke 	 ADJ 
, 	 PUN 
polimorfističke 	 ADJ 
, 	 PUN 
političke 	 ADJ 
, 	 PUN 
semaziološke 	ADJ
, 	 PUN 
senzualističke 	 ADJ 
, 	 PUN 
skepticističke 	 ADJ 
, 	 PUN 
skolastičke 	 ADJ 
, 	 PUN 
sociološke 	ADJ
, 	 PUN 
sofističke 	 ADJ 
, 	 PUN 
solipsističke 	 ADJ 
, 	 PUN 
spiritualističke 	 ADJ 
, 	 PUN 
stematografijske 	 ADJ 
, 	 PUN 
stoicističke 	 ADJ 
, 	 PUN 
supranaturalističke 	 ADJ 
, 	 PUN 
tehničke 	 ADJ 
, 	 PUN 
tautološke 	ADJ
, 	 PUN 
tektoničke 	 ADJ 
, 	 PUN 
telepatijske 	 ADJ 
, 	 PUN 
termodinamičke 	ADJ
, 	 PUN 
toksikološke 	ADJ
, 	 PUN 
topografijske 	 ADJ 
, 	 PUN 
toponomastičke 	 ADJ 
, 	 PUN 
unanimističke 	 ADJ 
, 	 PUN 
uranografijske 	 ADJ 
, 	 PUN 
urbanističke 	 ADJ 
, 	 PUN 
urološke 	ADJ
, 	 PUN 
utopističke 	 ADJ 
, 	 PUN 
venerološke 	ADJ
, 	 PUN 
versifikatorske 	 ADJ 
, 	 PUN 
voluntarističke 	 ADJ 
, 	 PUN 
vulkanološke 	ADJ
, 	 PUN 
zoografske 	 ADJ 
, 	 PUN 
zoološke 	ADJ
i 	 KON:COOR 
zoogeografske 	 ADJ 
studije 	 NOM:com 
. 	 SENT 
 	  
Beleške 	 NOM:com 
na 	 PRP 
dnu 	 NOM:com 
stranica 	 NOM:com 
ili 	 KON:COOR 
ideografski 	 ADJ 
znaci 	 NOM:com 
u 	 PRP 
vidu 	 NOM:com 
krsta 	 NOM:com 
, 	 PUN 
polumeseca 	 NOM:com 
ili 	 KON:COOR 
šestokrake 	ADJ
zvezde 	 NOM:com 
zamenjeni 	 VER 
su 	 VER:AUX 
čitavim 	 ADJ 
stranicama 	 NOM:com 
sitno 	ADV
pisanog 	 ADJ 
rukopisa 	 NOM:com 
, 	 PUN 
skraćenice 	 NOM:com 
su 	 VER:AUX 
se 	 PRO:REF 
pretvorile 	 VER 
u 	 PRP 
zaglavlja 	 NOM:com 
, 	 PUN 
zaglavlja 	 VER 
u 	 PRP 
glave 	 NOM:com 
, 	 PUN 
i 	 KON:COOR 
uskoro 	 ADV 
je 	 VER 
prvobitna 	 ADJ 
ideja 	 NOM:com 
kombinovanog 	 ADJ 
konduktera 	 NOM:com 
i 	 KON:COOR 
bedekera 	 NOM:com 
postala 	 VER 
samo 	 ADV 
mala 	 ADJ 
, 	 PUN 
provokatorska 	 ADJ 
oplodna 	 ADJ 
ćelija 	 NOM:com 
koja 	 PRO:REL 
se 	 PRO:REF 
delila 	 VER 
, 	 PUN 
kao 	 KON:SUB 
kakav 	 ADJ:IND 
primitivni 	 ADJ 
organizam 	 NOM:com 
, 	 PUN 
u 	 PRP 
geometrijskoj 	 ADJ 
progresiji 	 NOM:com 
, 	 PUN 
tako 	 ADV 
da 	 KON:SUB 
je 	 VER:AUX 
na 	 PRP 
kraju 	 NOM:com 
od 	 PRP 
onoga 	 PRO:DEM 
što 	 PRO:REL 
je 	 VER:AUX 
bilo 	 VER 
Red 	NOM:com
vožnje 	 NOM:com 
autobuskog 	 ADJ 
, 	 PUN 
brodskog 	 ADJ 
, 	 PUN 
železničkog 	 ADJ 
i 	 KON:COOR 
avionskog 	 ADJ 
saobraćaja 	 NOM:com 
ostala 	 VER 
samo 	 ADV 
sasušena 	 ADJ 
čahura 	 NOM:com 
, 	 PUN 
ideografski 	 ADJ 
znak 	 NOM:com 
, 	 PUN 
velika 	 ADJ 
zagrada 	 NOM:com 
i 	 KON:COOR 
skraćenica 	 NOM:com 
, 	 PUN 
a 	 KON:COOR 
podtekst 	 NOM:com 
, 	 PUN 
marginalije 	 NOM:com 
i 	 KON:COOR 
fusnote 	 NOM:com 
upili 	 VER 
su 	 VER:AUX 
u 	 PRP 
sebe 	 PRO:PER 
tu 	ADJ:DEM
sitnu 	 ADJ 
, 	 PUN 
utilitarnu 	 ADJ 
i 	 KON:COOR 
nestabilnu 	 ADJ 
konstrukciju 	 NOM:com 
koja 	 PRO:REL 
je 	 VER:AUX 
stajala 	 VER 
skoro 	 ADV 
nevidljiva 	 ADJ 
i 	 KON:COOR 
sasvim 	 ADV 
sporedna 	 ADJ 
na 	 PRP 
šarenoj 	 ADJ 
mapi 	 NOM:com 
sveta 	 NOM:com 
suština 	 NOM:com 
, 	 PUN 
i 	 KON:COOR 
ta 	 ADJ:DEM 
je 	 VER:AUX 
izmišljena 	 ADJ 
i 	 KON:COOR 
apstraktna 	 ADJ 
pratema 	 NOM:com 
predstavljala 	 VER 
samo 	 ADV 
tanke 	 ADJ 
linije 	 NOM:com 
podnevaka 	 NOM:com 
i 	 KON:COOR 
uporednika 	 NOM:com 
na 	 PRP 
ovoj 	 ADJ:DEM 
golemoj 	 ADJ 
konstrukciji 	 NOM:com 
od 	 PRP 
nekih 	 ADJ:IND 
osamsto 	 NUM:CAR 
stranica 	 NOM:com 
bez 	 PRP 
proreda 	 NOM:com 
. 	 SENT 
 	  
Taj 	 ADJ:DEM 
tekst 	 NOM:com 
je 	 VER 
uporno 	 ADV 
i 	 KON:COOR 
tvrdoglavo 	 ADV 
čuvao 	 VER 
svoj 	 ADJ:POS 
prvobitni 	 ADJ 
naslov 	 NOM:com 
reda 	 NOM:com 
vožnje 	 NOM:com 
i 	 KON:COOR 
samo 	 ADV 
je 	 VER:AUX 
svedočio 	 VER 
o 	 PRP 
bolesnoj 	 ADJ 
izgubljenosti 	 NOM:com 
moga 	 ADJ:POS 
oca 	 NOM:com 
, 	 PUN 
koji 	 PRO:REL 
je 	 VER:AUX 
jednako 	 ADV 
verovao 	 VER 
u 	 PRP 
mogućnost 	 NOM:com 
da 	 KON:SUB 
će 	 VER:AUX 
neki 	 ADJ:IND 
izdavač 	 NOM:com 
nasesti 	 VER 
ovoj 	 ADJ:DEM 
očiglednoj 	 ADJ 
podvali 	 VER 
i 	 KON:COOR 
objaviti 	 VER 
njegov 	 ADJ:POS 
anarhični 	 ADJ 
hagiotični 	 ADJ 
spis 	 NOM:com 
pod 	 PRP 
firmom 	 NOM:com 
nevinog 	 ADJ 
reda 	 NOM:com 
vožnje 	 NOM:com 
i 	 KON:COOR 
bedekera 	 NOM:com 
. 	 SENT 
 	  
Iako 	 KON:SUB 
je 	 VER:AUX 
smatrao 	 VER 
svoje 	 ADJ:POS 
remek 	 NOM:com 
- 	 PUN 
delo 	 NOM:com 
još 	 ADV 
nezavršenim 	 ADJ 
, 	 PUN 
a 	 KON:COOR 
kako 	 KON:SUB 
mu 	 PRO:PER 
je 	 VER:AUX 
moja 	 ADJ:POS 
majka 	 NOM:com 
dala 	 VER 
do 	 PRP 
znanja 	 NOM:com 
da 	 KON:SUB 
ulazimo 	 VER 
u 	 PRP 
jesen 	 NOM:com 
i 	 KON:COOR 
zimu 	 NOM:com 
potpuno 	 ADV 
nepripremljeni 	 ADJ 
, 	 PUN 
moj 	 ADJ:POS 
otac 	 NOM:com 
je 	 VER:AUX 
ponudio 	 VER 
svoj 	 ADJ:POS 
red 	 NOM:com 
vožnje 	 NOM:com 
izdavaču 	 VER 
. 	 SENT 
 	  
No 	 KON:COOR 
kako 	 KON:SUB 
je 	 VER:AUX 
on 	 PRO:PER 
davno 	 ADV 
bio 	 VER:AUX 
prešao 	 VER 
ugovorom 	 NOM:com 
utvrđeni 	 ADJ 
rok 	 NOM:com 
, 	 PUN 
i 	 KON:COOR 
još 	 ADV 
se 	 PRO:REF 
pojavio 	 VER 
sa 	 PRP 
sasvim 	 ADV 
nedoteranim 	 ADJ 
rukopisom 	 NOM:com 
, 	 PUN 
izdavač 	 NOM:com 
ga 	 PRO:PER 
je 	 VER:AUX 
odbio 	 VER 
i 	 KON:COOR 
moj 	 ADJ:POS 
otac 	 NOM:com 
je 	 VER:AUX 
još 	 ADV 
bio 	 VER:AUX 
primoran 	 VER 
da 	 KON:SUB 
vrati 	 VER 
novac 	 NOM:com 
koji 	 PRO:REL 
je 	 VER:AUX 
dobio 	 VER 
na 	 PRP 
ime 	 NOM:com 
akontacije 	 NOM:com 
, 	 PUN 
kao 	 KON:SUB 
i 	 KON:COOR 
da 	 KON:SUB 
nadoknadi 	 VER 
sudske 	 ADJ 
troškove 	 NOM:com 
. 	 SENT 
 	  
Tada 	 ADV 
je 	 VER:AUX 
, 	 PUN 
izgubivši 	 VER 
sve 	 ADJ:IND 
parnice 	 NOM:com 
, 	 PUN 
pao 	 VER 
u 	 PRP 
neku 	 ADJ:IND 
duboku 	 ADJ 
depresiju 	 NOM:com 
, 	 PUN 
koju 	 PRO:REL 
smo 	 VER:AUX 
dugo 	 ADV 
smatrali 	 VER 
posledicom 	 NOM:com 
njegova 	 ADJ:POS 
neuspeha 	 NOM:com 
sa 	 PRP 
redom 	 NOM:com 
vožnje 	 NOM:com 
i 	 KON:COOR 
u 	 PRP 
prvi 	 NUM:ORD 
mah 	 NOM:com 
nismo 	 VER:AUX 
mogli 	 VER 
da 	 KON:SUB 
nađemo 	 VER 
neko 	 ADJ:IND 
drugo 	ADJ:IND
, 	 PUN 
prirodnije 	 ADJ:KOM 
objašnjenje 	 NOM:com 
te 	 ADJ:DEM 
pojave 	 NOM:com 
. 	 SENT 
 	  
Tek 	 ADV 
mnogo 	 ADV 
kasnije 	 ADV:KOM 
sam 	 VER:AUX 
shvatio 	 VER 
: 	 PUN 
moj 	 ADJ:POS 
otac 	 NOM:com 
je 	 VER 
s 	 PRP 
jeseni 	 ADJ 
padao 	 VER 
u 	 PRP 
depresiju 	 NOM:com 
iz 	 PRP 
koje 	 PRO:REL 
se 	 PRO:REF 
budio 	 VER 
tek 	 ADV 
u 	 PRP 
proleće 	 NOM:com 
. 	 SENT 
 	  
U 	 PRP 
tim 	 ADJ:DEM 
prelaznim 	 ADJ 
razdobljima 	 NOM:com 
, 	 PUN 
on 	 PRO:PER 
je 	 VER:AUX 
bio 	 VER 
zaokupljen 	 ADJ 
nekim 	 ADJ:IND 
dubokim 	 ADJ 
meditacijama 	 NOM:com 
i 	 KON:COOR 
tada 	 ADV 
bi 	 VER:AUX 
prekidao 	 VER 
svaki 	 ADJ:IND 
kontakt 	 NOM:com 
sa 	 PRP 
svetom 	 NOM:com 
, 	 PUN 
predajući 	 VER 
se 	 PRO:REF 
potpuno 	 ADV 
svom 	 ADJ:POS 
delu 	 NOM:com 
. 	 SENT 
 	  
U 	 PRP 
početku 	 NOM:com 
bi 	 VER:AUX 
se 	 PRO:REF 
samo 	 ADV 
zaključavao 	 VER 
u 	 PRP 
svoju 	 ADJ:POS 
sobu 	 NOM:com 
, 	 PUN 
gde 	 ADV:REL 
je 	 VER:AUX 
nama 	 PRO:PER 
bio 	VER:AUX
tada 	 ADV 
zabranjen 	VER
svaki 	 ADJ:IND 
pristup 	 NOM:com 
, 	 PUN 
a 	 KON:COOR 
kasnije 	 ADV:KOM 
je 	 VER:AUX 
odlazio 	 VER 
na 	 PRP 
neka 	 ADJ:IND 
duga 	 ADJ 
putovanja 	 NOM:com 
čiji 	 ADJ:REL 
smisao 	 NOM:com 
i 	 KON:COOR 
cilj 	 NOM:com 
nikada 	 ADV:IND 
nisam 	 VER:AUX 
mogao 	 VER 
da 	 KON:SUB 
razjasnim 	 VER 
. 	 SENT 
 	  
Odlazio 	 VER 
je 	 VER:AUX 
noću 	 ADV 
, 	 PUN 
kasno 	 ADV 
, 	 PUN 
u 	 PRP 
najvećoj 	 ADJ:SUP 
ilegalnosti 	 NOM:com 
, 	 PUN 
ne 	 PAR 
pozdravljajući 	 VER 
se 	 PRO:REF 
s 	 PRP 
nama 	 PRO:PER 
. 	 SENT 
 	  
Ujutro 	 ADV 
bi 	 VER:AUX 
nam 	 PRO:PER 
majka 	 NOM:com 
saopštila 	 VER 
, 	 PUN 
nekim 	 ADJ:IND 
za 	 PRP 
mene 	 PRO:PER 
uvek 	 ADV 
zagonetnim 	 ADJ 
glasom 	 NOM:com 
, 	 PUN 
da 	 KON:SUB 
je 	 VER:AUX 
naš 	 ADJ:POS 
otac 	 NOM:com 
« 	 PUN:cit 
otputovao 	 VER 
na 	 PRP 
duže 	 NOM:com 
vreme 	 NOM:com 
i 	 KON:COOR 
u 	 PRP 
nepoznatom 	 ADJ 
pravcu 	 NOM:com 
» 	 PUN:cit 
. 	 SENT 
 	  
Vraćao 	 VER 
bi 	 VER:AUX 
se 	 PRO:REF 
s 	 PRP 
proleća 	 NOM:com 
, 	 PUN 
izmršaveo 	 VER 
, 	 PUN 
nekako 	 ADV:IND 
čudno 	 ADV 
izdužen 	 ADJ 
i 	 KON:COOR 
promenjen 	 ADJ 
, 	 PUN 
smeškao 	 VER 
bi 	 VER:AUX 
nam 	 PRO:PER 
se 	 PRO:REF 
još 	 ADV 
izdaleka 	 ADV 
, 	 PUN 
mašući 	 VER 
nam 	 PRO:PER 
iz 	 PRP 
fijakera 	 NOM:com 
, 	 PUN 
dlana 	 NOM:com 
okrenutog 	 ADJ 
prema 	 PRP 
sebi 	 PRO:PER 
. 	 SENT 
 	  
Rekli 	 VER 
biste 	 VER:AUX 
– 	 PUN 
sve 	 PRO:IND 
je 	 VER:AUX 
prošlo 	 VER 
. 	 SENT 
 	  
Nekoliko 	 ADV 
dana 	 NOM:com 
bio 	 VER 
bi 	 VER:AUX 
